,Complete,Decision,Received,Sent
07jmfran,0.0,0.0,0.0,0.0
07lawgirl,1.0,1.0,1.0,1.0
07nietzsche07,0.0,0.0,0.0,0.0
082490,1.0,0.555555555556,0.111111111111,1.0
08ambrew,0.0,0.0,0.0,0.0
08kel,0.0,0.0,0.0,0.0
08klfrie,0.0,0.0,0.0,0.0
08mlo,0.0,0.0,0.0,0.0
09910745,0.0,0.0,0.0,0.0
09Ag,0.714285714286,0.571428571429,0.0,1.0
09applicant,1.0,1.0,0.0,0.0
09bmlaw,0.0,0.0,0.0,0.0
09hopeful,1.0,0.75,1.0,1.0
09toasat,0.0,0.0,0.0,0.0
09_18_16,0.636363636364,0.727272727273,0.636363636364,1.0
0BFadil,0.0,0.0,0.0,0.0
0LHopingfor1,1.0,1.0,1.0,1.0
0LLOL,0.0,0.0,0.0,0.0
0L,0.666666666667,0.583333333333,0.75,1.0
0percentfinance,1.0,1.0,1.0,1.0
0ptomist,0.9375,0.625,0.125,0.125
0uuu0,0.0,0.0,0.5,0.5
1000plateaus,0.0,0.0,0.0,0.0
10010,1.0,0.0,1.0,1.0
100999,0.0,0.0,0.0,0.0
1010011000111,0.0,0.0,0.0,0.0
101011,0.625,1.0,0.125,0.375
101090al,0.0,0.0,0.0,1.0
1012,1.0,1.0,0.0,1.0
101670944,0.0,0.941176470588,0.0,1.0
101Gold,0.642857142857,0.928571428571,1.0,1.0
10276176,0.0,0.0,0.0,0.0
105OV11,0.0,0.25,0.0,0.0
10hopeful,0.0,0.0,0.6,1.0
10n10crossed,1.0,1.0,1.0,1.0
10percentjuice,0.7,0.55,0.0,0.0
10thMtn,0.0,0.0,0.0,0.0
11111,0.0,0.0,0.0,0.0
11BOIFvet,0.0,0.333333333333,0.0,1.0
11nicole11,0.0,0.0,0.0,0.0
11th-hour,0.714285714286,1.0,1.0,1.0
12110,0.133333333333,0.266666666667,0.0,0.0
121212,0.0,0.916666666667,0.0833333333333,1.0
1221,0.0,0.647058823529,0.0,1.0
1234567890,0.0,0.0,0.0,0.0
12345678,0.0,0.0555555555556,0.0,0.0
123456,0.0,0.0,0.0,0.0
12345789,1.0,1.0,0.2,1.0
12345law,0.0,0.0,0.0,0.0
1234LS,0.0,0.0,0.0,0.0
1234,0.0,0.0,0.0,0.0
12384rr,1.0,0.0,1.0,1.0
123abc,0.0909090909091,0.545454545455,0.0,1.0
123angie456,0.0,0.0,0.0,0.0
123fakestreet,0.0,0.0,0.0,0.0
123ihtesn,0.0,0.125,0.0,0.125
123jrs789,0.0,0.0,0.0,0.0
123kl,1.0,1.0,1.0,1.0
123lawkid,0.0,0.0,0.0,0.0
123l,0.0,0.0,0.0,0.0
123xalady,0.0833333333333,0.0833333333333,0.0833333333333,0.0
12456789,0.0,0.571428571429,0.0,1.0
12b6,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333
12lawgirl12,0.0,0.0,0.0,0.0
12oclockblue,0.0,0.1,0.0,0.0
12rh31,0.538461538462,0.923076923077,0.538461538462,1.0
12soccer,0.0,0.0,0.0,0.0
12weeks,1.0,1.0,1.0,1.0
1306wilbre,0.5,1.0,0.0,1.0
1337frog,0.0,0.0,0.0,0.0
1337,1.0,0.875,0.0,0.0
135246,0.0,0.0,0.0,0.0
13ALLA,0.0,0.0,0.0,0.0
13j80,0.0,0.0,0.0,0.0
13yasy13,0.0,0.0,0.0,0.0
1410wedge,0.111111111111,0.111111111111,0.111111111111,0.222222222222
1430JDW,0.0,0.0,0.0,0.0
1485,0.0,0.0,0.0,0.0
14G,0.0,0.0,0.0,0.0
150213,0.0,0.0,0.0,0.0
15aQr21W,0.0,0.0,0.0,0.0
15TeamParlay,0.75,1.0,0.5,1.0
1617novakn,0.0,0.0,0.8,1.0
16to19,0.25,0.5625,0.1875,0.3125
16YearWait,0.0,0.0,0.0,0.0
172livecrew,0.0,0.0,0.0,0.7
17appsRUnuts,0.0,0.352941176471,0.0,0.705882352941
17ShortFuse,0.888888888889,0.833333333333,1.0,1.0
1800contacts,0.0,0.0,0.0,0.0
1805,0.0,0.0,0.0,0.0
180life,0.0,0.166666666667,0.0,0.111111111111
180splitter23,0.0,0.0,0.0,0.0
180tutor,0.0,0.0,0.0,0.0
1842fjr,0.0,0.0,0.0,0.0
190821,0.0,0.0,0.0,0.0
1917pari,0.857142857143,0.857142857143,0.714285714286,1.0
1920Esq,0.0769230769231,0.230769230769,0.0769230769231,0.769230769231
1920M,0.0,1.0,0.0,1.0
1974Tisa,0.0,0.0,0.0,0.0
19781984,1.0,1.0,1.0,1.0
1978,0.0,0.0,0.0,0.0
1980heel,0.0,0.0,0.0,0.0
1982bmwhite,0.0,0.0,0.0,0.0
1985,1.0,0.75,1.0,1.0
1986,0.0,1.0,0.0,1.0
19881994,0.0,0.0,0.0,0.0
19Airborne,0.0,0.0,0.0,0.0
19ben90,0.0,0.222222222222,0.0,0.222222222222
19eagle,0.0,0.0,0.0,0.0
19er,0.0,0.0,0.0,0.0
19nupe11,0.0,0.0,0.0,0.0
1abagfoo,0.0,0.0,0.0,0.0
1Activist,1.0,0.705882352941,0.0,0.0
1armedscissor,0.5,0.0,0.5,1.0
1bizzy1,0.0,0.0,0.0,0.0
1boardhead,0.0,0.0,0.0,0.0
1boo,0.0,0.0,0.0,0.0
1domino1,0.0,0.0,0.0,0.0
1element1,0.0,0.0,0.0,0.0
1Elle,1.0,1.0,1.0,1.0
1fish2fish,0.555555555556,0.666666666667,0.222222222222,1.0
1H-town1,1.0,0.9375,1.0,1.0
1heartrose,0.0,0.0,0.0,0.0
1ignite,0.0,0.0,0.0,0.0
1in20,0.0,0.0,0.0,0.0
1isallittakes,0.0,0.0,0.0,0.0
1l2005,0.0,0.0,0.0,0.0
1LAshley,0.0,0.0,0.0,0.0
1Laspirant,0.0,0.0,0.0,0.0
1lawschool,0.0,0.0,0.0,0.0
1LCORVO,0.0833333333333,0.166666666667,0.25,0.416666666667
1legal,0.0,0.0,0.0,0.0
1lhopeful,0.827586206897,1.0,0.793103448276,1.0
1Ltobe,0.105263157895,0.210526315789,0.368421052632,0.736842105263
1Lwannabe,0.0,1.0,0.0,0.888888888889
1L,0.411764705882,0.882352941176,0.882352941176,0.882352941176
1monkey1,1.0,1.0,1.0,1.0
1more,1.0,1.0,1.0,1.0
1NeetFreek,0.0,0.0,0.0,0.0
1ofthosethings,0.0,0.0,0.0,0.0
1Pinkflo,0.0,0.0,0.0,0.0
1pnogyrl,0.0,0.0,0.0,0.0
1q84,0.0526315789474,0.105263157895,0.0,1.0
1Splitter,0.0,0.909090909091,0.0,1.0
1st2Fight,0.166666666667,0.333333333333,0.5,1.0
1stborn,0.363636363636,0.545454545455,0.454545454545,0.909090909091
1styrdone,0.0,0.0,0.0,0.0
1sweetworld4136,0.133333333333,0.0,0.133333333333,0.266666666667
1swift,0.333333333333,0.777777777778,1.0,0.0
1USCgirl,0.0,0.0,0.0,0.0
1WingedAngel,0.666666666667,0.916666666667,0.25,1.0
1wish,0.0,0.0,0.0,0.0
1wontdo,0.0,0.0,0.0,0.0
1z7s8k,0.0,0.0,0.0,0.0
2000late,1.0,0.9,1.0,1.0
2000WJLTD,0.0,0.75,0.0,0.0
2003grad,0.5,0.8,0.0,1.0
2004Laywer,0.222222222222,0.111111111111,0.0,0.333333333333
2005gcm,0.0,0.0,0.0,0.0
2005Grad,0.0,0.0,0.0,0.0
2006davidson,0.0,0.0,0.0,0.0
2006hereitcomes,0.0,0.0,0.0,0.0
2006UC,0.0,0.0,0.0,0.0
2007lawyer,0.0,0.0,0.0,0.0
2008falcon,0.0,0.0,0.0,0.0
2008law,0.0,0.0,0.0,0.0
2008TPPgrad,0.821428571429,0.785714285714,0.821428571429,0.821428571429
2009hopeful,0.0,0.0,0.111111111111,1.0
2009LawSchool,0.0,0.2,0.0,0.0
2010Candidate,0.0,0.473684210526,0.0,0.0
2010hopeful,0.714285714286,0.285714285714,0.428571428571,1.0
2010istheyear,0.0,0.0,0.0,0.0
2010JDhopeful,0.8,1.0,0.0,1.0
2010law,1.0,0.777777777778,1.0,1.0
2010LSApplicant,1.0,1.0,0.0,1.0
2010nontrad,0.0,0.0,0.0,0.0
2011jd,0.0,0.0,0.0,0.0
2011Law,0.0,1.0,0.0,1.0
20122012,0.555555555556,0.666666666667,0.777777777778,0.777777777778
2012Chris2012,0.8125,1.0,0.125,1.0
2012LawGuy,0.0,0.222222222222,0.0,0.0
2012lsatscore,1.0,1.0,0.0,1.0
2012prospective,0.9375,0.9375,0.0,0.0
2013hopeful,1.0,1.0,1.0,1.0
2013jd,0.0,0.818181818182,0.0,1.0
2013lnghrn,0.636363636364,0.272727272727,0.0909090909091,0.545454545455
2013UI,0.0,0.0,0.0,0.0
2015Hopeful,0.136363636364,0.0909090909091,0.0454545454545,0.954545454545
2015mpc,0.0,0.0,0.0,0.0
2017applicant,0.333333333333,1.0,0.333333333333,1.0
2017L1,0.333333333333,0.333333333333,0.0,0.333333333333
2020JDDCREW,0.9,0.4,1.0,1.0
2068348,0.0,0.0,0.0,0.0
207,0.739130434783,0.521739130435,0.347826086957,1.0
20apps,0.0,0.0,0.0,0.0
20Butler,0.0,0.0,0.0,0.0
20ruevauvenargues,1.0,0.875,1.0,1.0
22203,1.0,0.909090909091,1.0,1.0
22,0.0,1.0,0.0,1.0
23000,0.8,0.6,0.0,1.0
23ocgirl,0.0,0.0,0.0,0.0
24601,0.0,0.0,0.0,0.0
246810,0.0,1.0,0.0,0.444444444444
248gpa,0.0,1.0,0.0,1.0
24secure,0.9375,0.8125,1.0,1.0
2655,0.0,0.0,0.0,0.0
274262746,0.0,0.0,0.0,0.0
2747222,0.363636363636,0.0909090909091,0.363636363636,0.363636363636
2800,0.0,0.0,0.0,0.0
28wm,0.0,0.0,0.0,0.0
295806791,0.0,0.0,0.0,0.0
29Pahel,0.0,0.0,0.0,0.0
29qwerty29,0.0,0.0,0.0,0.0
29yoengteacher,0.571428571429,0.642857142857,0.0,0.928571428571
2bmccoy,0.0,0.0,0.0,0.0
2chainz,0.0,0.75,0.0,0.25
2fHepRQF,0.111111111111,0.777777777778,0.222222222222,1.0
2Godbdglory,0.0,0.0,0.0,0.0
2hot4u,0.0,0.0,0.0,0.0
2leaf,0.0,0.0,0.0,0.0
2legit2split,0.0,0.0,0.0,0.0
2legit,0.0,0.0,0.0,0.0
2livelaur,0.047619047619,0.571428571429,0.0,0.0
2ltchronic,0.0,0.0,0.0,1.0
2male2pale,0.0,0.0,0.0,0.0
2ndchanceplz,0.375,0.125,0.75,0.75
2ndChance,0.0,0.0,0.0,0.0
2ndGenLawyer,0.285714285714,1.0,0.285714285714,1.0
2ndtimearound,0.0,0.533333333333,0.0666666666667,0.8
2numero2,0.0,0.0,0.25,0.5
2ofTwo,0.0,0.0,0.0,0.0
2old4this,1.0,1.0,1.0,1.0
2plus2muchMath,0.909090909091,0.454545454545,0.181818181818,1.0
2star,0.0,0.666666666667,0.0,1.0
2stdyip,0.0,0.714285714286,0.0,1.0
2things2,0.0,0.0,0.0,0.0
2u219df6,0.0,0.0,0.0,0.0
2x2Matrix,1.0,1.0,1.0,1.0
2xthecharm,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0
3023,0.0,0.625,0.0,0.0
305law,0.857142857143,0.285714285714,0.857142857143,1.0
305to215,0.333333333333,0.666666666667,0.0,0.733333333333
30rockgrl,0.0,0.8,0.4,1.0
30rock,0.857142857143,0.904761904762,0.0,1.0
30secondstolaw,0.0,0.947368421053,0.0,0.0
30somethingJD,0.368421052632,1.0,0.263157894737,1.0
310493,0.0,0.0,0.0,0.0
3104keane,0.0,0.0,0.0,0.0
310tvr,0.0,0.857142857143,0.0,1.0
314159,0.95,0.1,1.0,1.0
3210abcd,1.0,1.0,1.0,1.0
321159,0.0,1.0,0.0,0.916666666667
328925,0.0,0.0,0.0,0.0
3308,1.0,0.0,0.0,0.0
33oldguy,0.0,0.0,0.0,0.0
33randy,0.0,0.0,0.0,0.0
33RTB,0.0,0.0,0.0,0.0
342848386278,0.933333333333,0.933333333333,0.933333333333,0.933333333333
3448,0.0,0.0,0.0,0.0
34fall08,0.0,0.0,0.0,0.0
357Law,0.0,0.0,0.0,0.0
35neutral,0.0,0.0,0.0,0.0
373775,0.0,0.0,0.0,0.0
384,0.0,0.0,0.0,0.0
388839,0.0,0.0,0.833333333333,0.833333333333
38egbirb,0.0,0.0,0.0,0.0
39er,0.423076923077,0.423076923077,0.846153846154,1.0
3cr,0.0,0.0,0.0,0.0
3GLTM,0.0,0.0,1.0,1.0
3gmama,0.888888888889,0.944444444444,0.0,1.0
3kids,1.0,1.0,1.0,1.0
3Kittens,1.0,1.0,0.0,0.0
3ML,0.0,0.0,0.0,0.0
3Q15,0.6,0.1,1.0,1.0
3t3,0.5,0.75,0.75,0.75
3v3ryth1ng,0.842105263158,0.842105263158,1.0,1.0
3x3x3,0.0,0.0,0.0,0.0
3xLSATer,0.0,0.0,0.0,0.0
403moreprejudicial,1.0,0.833333333333,1.0,1.0
404,0.0,0.0,0.0,0.0
40ozWarrior,0.0,0.0,0.0,0.0
40yowm,0.888888888889,0.333333333333,0.777777777778,1.0
415hoya,0.0,1.0,0.0,1.0
4242,0.0,0.0,0.0,0.0
426ellwood,0.727272727273,0.636363636364,0.0,1.0
42regular,0.0,1.0,0.0,1.0
42st,0.0,0.0,0.0,0.0
4400Jack,0.0,0.0,0.0,0.0
44mrwilson,0.0,0.0,0.0,0.0
45acp,0.4,0.0,0.4,0.4
45c54,0.0,0.0,0.0,0.0
46nyc,0.941176470588,0.882352941176,1.0,1.0
48104,0.0,0.0,0.0,0.0
481G,0.0,0.0,0.0,0.0
49erjo,0.0,0.416666666667,0.0,1.0
4betterworld,0.0,0.0,0.0,0.0
4cat100,1.0,0.833333333333,1.0,1.0
4ek8keenank,0.0,0.0,0.0,0.0
4ftd,0.0,0.0,0.0,0.0
4kidznhubby,0.0,0.0,0.0,0.0
4littlewolves,1.0,1.0,0.4,1.0
4LtsPointingNorth,0.0,0.0,0.0,1.0
4pool,1.0,0.857142857143,1.0,1.0
4real,0.0,0.0,0.0909090909091,0.0
4RE,0.823529411765,1.0,0.352941176471,1.0
4theBooks,0.0,0.0,0.0,0.0
4thofJuly,0.0,0.0,0.0,0.0
4thQuarterClutch2012,0.0,0.730769230769,0.0,0.769230769231
4thTierinMyBeer,0.0,0.0,0.0,0.0
4yearsout,1.0,1.0,1.0,1.0
500dimes,0.0,0.0,0.0,0.0
504boy,0.0,0.0,0.0,0.0
52LawBook,0.0,0.0,0.0,0.0
5432,0.9,0.9,0.6,1.0
5459TL,0.0,0.0,0.0,0.0
5480154,0.0,0.0,0.0,0.0
549grove,0.0,0.5,0.0,0.666666666667
555555ks,0.888888888889,0.555555555556,0.111111111111,1.0
58103,1.0,1.0,1.0,1.0
587INF,0.0,0.0,0.0,0.0
59797,0.631578947368,0.578947368421,0.842105263158,0.947368421053
5genie,0.0,0.0,0.0,0.0
5MiLeKeeLER,0.5,1.0,1.0,1.0
5onit,0.0,0.0,0.0,0.0
5wood,1.0,1.0,0.0,1.0
5,1.0,0.857142857143,1.0,1.0
6062,0.636363636364,0.0909090909091,0.0,1.0
60gophers09,0.0,0.833333333333,0.0,1.0
610man,0.0,0.0,0.0,0.0
6149cam,0.0,0.0,0.0,0.0
615Alpha,0.307692307692,0.923076923077,0.0,0.230769230769
621431,1.0,1.0,1.0,1.0
6423noltek,0.0,0.0,0.0,0.0
66krzr,0.0,0.0,0.0,0.0
69sofine,1.0,0.9,0.0,1.0
6motummyache,0.461538461538,0.461538461538,0.0,0.0
70sGuy,0.0,0.0,0.0,0.0
70tigers,1.0,1.0,0.0,1.0
718281828459045,0.666666666667,1.0,1.0,1.0
718817,0.0,0.0,0.0,0.0
7326030358,0.0,0.0,0.0,0.0
757driver49,0.0,0.0,0.0,0.0
75thpercentile,0.0,0.0,0.0,0.0
76Fresh,0.0,0.0,0.0,0.0
777,0.0,0.192307692308,0.192307692308,0.115384615385
7lions,0.0,0.0,0.0,0.0
7nietzsche7,0.0,0.0,0.0,0.0
7tigers19,0.0,0.222222222222,0.0,0.888888888889
7wollem,0.0,0.0,0.0,0.0
7_yrs_tibet,0.5,0.5,0.5,0.0
8183,0.0,0.0,0.0,0.0
824potter,0.857142857143,0.714285714286,0.142857142857,1.0
83Bridge,0.0,0.0,0.0,0.0
85patriots,0.0,0.4,0.0,0.0
86bms,1.0,0.875,1.0,1.0
86kelly,0.0,0.0,0.0,0.0
86revolt,1.0,0.75,1.0,1.0
87654,0.0,0.0,0.0,0.0
8765mo,0.0,0.0,0.0,0.0
888sa888,0.0,0.0,0.0,0.0
8922diamonj,0.0,0.0,0.0,0.0
8months,0.0,0.0,0.0,0.0
8rtn4k38f0wm,1.0,1.0,1.0,1.0
8secrets,0.0,0.0,0.0,0.0
8stepdrop,0.0,0.0,0.0,0.0
8tj88,0.0,0.0,0.0,0.0
8yearsout,0.0,0.0,0.0,0.733333333333
908ls,0.0,0.0,0.0,0.0
944s22,1.0,1.0,1.0,1.0
9483,0.0,0.0,0.0,0.0
987654321,0.0,0.0,0.0,0.0
987654,0.888888888889,1.0,0.37037037037,1.0
98lvaca,0.5,1.0,0.5,0.5
992011,0.0,0.0,0.0,0.0
99balloons,0.875,1.0,1.0,1.0
9jadivah,0.0,0.0,0.0,0.0
9porcellic,0.25,0.375,0.25,0.375
9tap1,0.0,0.0,0.0,0.0
a%20dog,0.0,0.0,0.0,0.0
a&mhopeful,0.0,0.0,0.0,0.0
A-dogg,0.0,0.0,0.0,0.0
A.RODRIGUEZ94,0.0,0.0,0.0,0.0
a01637247,0.0,0.0,0.0,0.0
a02102,0.0,0.0,0.0,0.0
a0cat,0.866666666667,0.933333333333,0.0,1.0
a12112321,0.0,0.0,0.0,0.0
a1L,0.0,0.0,0.0,0.0
a1wells,0.0,0.0,0.0,0.0
a2004,0.0,0.285714285714,0.0,0.0
a224932,1.0,1.0,1.0,1.0
a2g916,0.0,0.0,0.0,0.0
a2scientist,0.0,0.0,0.0,0.0
a30a,0.714285714286,1.0,0.0714285714286,0.0
a360knowledge,0.0,0.0,0.0,0.0
A3n7n,0.0,0.0,0.0,0.222222222222
A49plymoth,0.0909090909091,0.272727272727,0.181818181818,0.727272727273
a4n2o0n1,0.0,0.0,0.0,0.0
a4ur,0.0,0.333333333333,0.0,1.0
a99duncan,0.0,0.0,0.0,0.0
a9wells,1.0,1.0,1.0,1.0
aa.khaleesi,0.0,0.0,0.0,0.0
AA1540,0.0,0.0,0.0,0.0
AA2004,1.0,1.0,0.947368421053,1.0
aa2070,0.0,0.9,0.0,1.0
aa2525,0.130434782609,0.913043478261,0.0,0.95652173913
aaa111,0.833333333333,1.0,1.0,1.0
aaa818,0.0,0.0,0.0,0.0
aaaaa20072000,0.0,0.0,0.0,0.0
aaamen,0.25,0.0,0.0,0.75
aaanuo,0.0,0.0,0.0,0.0
aabar,0.0,0.0,0.0,0.0
aabbcc,0.0,0.0,0.0,0.0
aabennett,0.0,0.571428571429,0.0,1.0
AAbraham,0.333333333333,0.333333333333,0.333333333333,0.666666666667
aabuster1,0.047619047619,0.0,0.0,0.0
aac2022,1.0,1.0,1.0,1.0
aad2886,0.0,0.0,0.0,0.0
AAD718,0.0,0.0,0.0,0.0
aad722,0.888888888889,1.0,1.0,1.0
aadancer,0.0,0.0,0.0,0.0
aad,0.0,0.0,0.0,0.0
aaebert67,0.0,0.0,0.0,0.0
aaf2ux,0.0,0.0,0.0,0.0
aagarpao,0.0,0.0,0.0,0.0
aagp90,0.428571428571,0.0,0.428571428571,0.714285714286
aagrawe,0.0,0.0,0.0,0.0
aaguil3,0.0,0.0,0.0,0.0
aah5,0.0,0.0,0.0,0.0
aahayes85,0.0,0.0,0.0,0.0
aaiken,0.0,0.0,0.0,0.0
aaiqbal,0.0,0.0,0.0,0.0
aakash,0.923076923077,1.0,0.153846153846,1.0
aakhuemo77,0.0,0.0,0.0,0.0
aal001,0.125,0.0,0.875,1.0
aal22,0.727272727273,0.818181818182,0.454545454545,1.0
aalaw9,1.0,0.947368421053,0.0,0.0
aaldrich4,0.0,0.0,0.0,0.0
AAli,1.0,0.75,0.875,1.0
aallhh10,0.0,0.142857142857,0.0,0.0
aallIsWell,0.0,0.0,0.0,0.0
aalokika,0.5,1.0,0.0,0.0
aalove,1.0,0.714285714286,1.0,1.0
aaloyd,1.0,0.25,1.0,1.0
aalucien,0.0,0.0,0.0,0.0
aalvarez103,0.0,0.0,0.0,0.0
aam40,0.0,0.0,0.0,0.0
aam5083,0.0,0.0,0.0,0.0
aamonette,0.0,0.0,0.0,0.0
aamulvihill,0.0,0.0,0.0,0.0
aamuth,0.0,0.0,0.0,0.0
aanunez79,1.0,0.9,1.0,1.0
aao06,0.0,0.0,0.0,0.0
aap2005,0.0,0.0,0.0,0.0
aap85,0.0,0.0,0.0,0.0
aapark,0.0,0.0,0.0,0.0
aapplicant2010,0.0,0.0,0.0,0.0
aapril1617,0.0,0.0,0.0,0.0
aaq222,0.0,0.0,0.0,0.0
aaragonaburns,0.0,0.0,0.0,0.0
aaranda84,0.0,0.0,0.0,0.0
aarcrow,0.0,0.0,0.0,0.0
aardvark,0.0,0.0,0.0,0.0
aaredmon,0.0,0.0,0.0,0.0
AarenCobb,0.0,0.0,0.0,0.0
aaria11,0.0,0.0,0.0,0.0
Aaron1120,0.888888888889,0.777777777778,0.0,1.0
aaron37,0.0,0.166666666667,0.0,0.0
aaron443,0.4,0.9,1.0,1.0
aaron777,0.0,0.0,0.0,0.0
aaronb40,0.0,0.0,0.0,0.0
aaronbgavin,0.0,0.0,0.0,0.0
AaronChase,1.0,1.0,1.0,1.0
AaronDEsq,0.0,0.0,0.0,0.0
AaronEFranklin,0.0,0.0,0.0,0.0
aaroneknight,0.0,0.0,0.0,0.0
aaronfine,0.0,0.0,0.0,0.0
aaroniv,0.0,0.0,0.0,0.0
AaronLShawLouisville,1.0,1.0,1.0,1.0
aaronmontes,0.0,0.0,0.0,0.0
aaronp88,0.0,0.0,0.0,0.0
AaronRCheng,0.0,0.0,0.0,0.0
aaronrodgers,0.666666666667,1.0,0.666666666667,1.0
aarons88,0.0,0.0,0.0,0.0
aaronshm,0.0,0.0,0.0,0.0
aaronsl2766,0.0,0.0,0.0,0.0
aarons,0.0,0.0,0.0,0.0
aarontxwl,0.0,0.0,0.0,0.0
aaronucsd,0.0,0.0,0.0,0.0
AaronWWC,0.0,0.0,0.0,0.0
Aaron,0.0,0.461538461538,0.0,0.0
aaroy6711,0.333333333333,0.666666666667,0.666666666667,1.0
aarpisthebest,0.105263157895,0.0526315789474,0.0,0.157894736842
aartelt,0.0,0.0,0.0,0.0
aar,0.555555555556,1.0,0.0,0.888888888889
aasha06,0.0,0.0,0.0,0.0
aashton,0.0,0.0,0.0,0.0
aassareh,0.0,0.681818181818,0.0,1.0
aat1990,0.0,0.0,0.0,0.0
aattana,0.0,0.0,0.0,1.0
AAturboM3,0.0,0.0,0.0,0.0
aavalone,0.285714285714,0.142857142857,0.285714285714,0.857142857143
AAvecchione,0.428571428571,1.0,0.571428571429,0.857142857143
aaw27,0.0,0.0,0.0,0.0
aawaldrop,0.714285714286,0.714285714286,0.214285714286,1.0
AA,0.0,0.0,0.0,0.0
ab1191,0.454545454545,0.0909090909091,0.0,0.0
ab1234,0.0,0.0,0.0,0.0
ab123,0.0,0.0,0.0,0.0
ab2010,0.0,0.0,0.0,0.0
ab3897,0.0,0.0,0.0,0.0
ab4134,0.0,0.0,0.0,0.0
ab459,0.0,0.0,0.0,0.0
ab51894,1.0,0.333333333333,1.0,1.0
ab77,0.888888888889,0.0,0.333333333333,1.0
ab88,0.0,0.0,0.0,0.0
abab316,0.0,0.0,0.0,0.0
ababab,0.0,0.0,0.0,0.0
abadarac,0.0,0.0,0.0,0.0
abadgaem,0.0,0.0,0.0,0.0
abadname13,0.916666666667,1.0,1.0,1.0
ABAILEY216,0.4,0.8,1.0,1.0
abaird3,0.0,0.0,0.0,0.0
abake6,0.0,0.0,0.0,0.0
abaker44,0.0,0.0,0.0,0.0
abandapart22,0.0,0.583333333333,0.25,0.0
abarksdale,0.0,0.0,0.0,0.0
abarrios,0.0,0.0,0.0,0.0
abasey7,0.0,0.0,0.0,0.0
abass,0.0,0.0,0.0,0.0
abats,0.0,0.0,0.0,0.0
abaugus,1.0,0.944444444444,1.0,1.0
abb113,0.0,0.0,0.0,0.0
abbabba,0.0,0.0,0.0,0.0
AbbaDabbaZabba,0.0,0.0,0.0,1.0
ABBear,0.0,0.125,0.0,0.125
abbey3211,0.0,0.0,0.0,0.0
abbeyj0218,0.0,0.0,0.0,0.0
abbeyjess,0.0,0.0,0.0,0.0
abbeyw,0.0,0.0,0.0,0.0
abbie1982,0.0,0.0,0.0,0.0
abbie3,0.0,0.0,0.0,0.0
abbiecarmichael,0.833333333333,0.916666666667,0.166666666667,1.0
abbocp4,0.0,0.0,0.0,0.0
Abbos3831,0.0,0.0,0.0,0.0
abby0936,0.0,0.0,0.0,0.0
abby3211,0.0,0.0,0.0,0.0
abby5209,0.0,0.0,0.0,0.0
abby8890,0.0,0.0,0.0,0.0
abbygal0330,1.0,1.0,0.0,1.0
abbygal,0.0,0.0,0.0,0.0
abbygav,0.0,0.0,0.0,0.0
abbyhannah,0.0,0.666666666667,0.0,1.0
AbbyRose1984,0.0,0.0,0.0,0.0
abbyrose19,0.0,0.0,0.0,0.0
abbyrose,0.0,0.0,0.0,0.0
abbzy87,0.0,0.0,0.0,0.0
abc12345,0.0,0.0,0.0,0.0
abc1234,0.0,0.0,0.0,0.0
abc1shme,0.0,0.0,0.0,0.0
abc337,0.0,0.0,0.0,0.0
abc45,0.0,0.0,0.0,0.0
abcaudill,0.777777777778,0.777777777778,0.111111111111,0.0
