,index,name,tuition,enrollment,group,location,rank,public,City,State_acronym,State
40,120,University of Arkansas Pine Bluff,"$13,666 (out-of-state), $7,336 (in-state)","2,721",hbcu,"Pine Bluff, AR",38,TRUE,pine bluff,ar,arkansas
41,123,South Carolina State University,"$20,500 (out-of-state), $10,420 (in-state)","2,529",hbcu,"Orangeburg, SC",42,TRUE,orangeburg,sc,south carolina
42,126,West Virginia State University,"$16,550 (out-of-state), $7,546 (in-state)","3,433",hbcu,"Institute, WV",42,TRUE,institute,wv,west virginia
43,129,Central State University,"$8,096 (out-of-state), $6,246 (in-state)","1,729",hbcu,"Wilberforce, OH",44,TRUE,wilberforce,oh,ohio
44,132,Grambling State University,"$16,466 (out-of-state), $7,443 (in-state)","3,883",hbcu,"Grambling, LA",44,TRUE,grambling,la,louisiana
45,135,Bluefield State College,"$13,032 (out-of-state), $9,560 (in-state)","1,362",hbcu,"Bluefield, WV",46,TRUE,bluefield,wv,west virginia
46,138,Lincoln University,"$14,172 (out-of-state), $7,632 (in-state)","2,618",hbcu,"Jefferson City, MO",47,TRUE,jefferson city,mo,missouri
47,141,Mississippi Valley State University,"$6,116 (out-of-state), $6,116 (in-state)","2,011",hbcu,"Itta Bena, MS",47,TRUE,itta bena,ms,mississippi
48,144,Texas Southern University,"$21,240 (out-of-state), $9,000 (in-state)","6,562",hbcu,"Houston, TX",47,TRUE,houston,tx,texas
49,147,Coppin State University,"$13,168 (out-of-state), $7,438 (in-state)",,hbcu,"Baltimore, MD",50,TRUE,baltimore,md,maryland
50,150,St. Augustine's University,"$17,890 ",944,hbcu,"Raleigh, NC",50,FALSE,raleigh,nc,north carolina
51,153,Savannah State University,"$9,905 (out-of-state), $3,367 (in-state)","4,772",hbcu,"Savannah, GA",52,TRUE,savannah,ga,georgia
52,156,University of the District of Columbia,"$12,952 (out-of-state), $6,616 (in-state)","3,950",hbcu,"Washington, DC",53,TRUE,washington,dc,
53,159,Virginia Union University,"$16,534 ","1,388",hbcu,"Richmond, VA",53,FALSE,richmond,va,virginia
54,162,Southern University New Orleans,"$15,322 (out-of-state), $6,421 (in-state)","1,981",hbcu,"New Orleans, LA",55,TRUE,new orleans,la,louisiana
55,165,Wilberforce University,"$13,250 ",,hbcu,"Wilberforce, OH",55,FALSE,wilberforce,oh,ohio
56,168,Allen University,"$13,140 ",,hbcu,"Columbia, SC",57-74,FALSE,columbia,sc,south carolina
57,171,Arkansas Baptist College,"$8,760 ",878,hbcu,"Little Rock, AR",57-74,FALSE,little rock,ar,arkansas
58,174,Benedict College,"$19,566 ",,hbcu,"Columbia, SC",57-74,FALSE,columbia,sc,south carolina
59,177,Cheyney University of Pennsylvania,"$17,452 (out-of-state), $11,356 (in-state)",709,hbcu,"Cheyney, PA",57-74,TRUE,cheyney,pa,pennsylvania
60,180,Edward Waters College,"$13,525 ",,hbcu,"Jacksonville, FL",57-74,FALSE,jacksonville,fl,florida
61,183,Harris Stowe State University,"$9,853 (out-of-state), $5,220 (in-state)","1,464",hbcu,"St. Louis, MO",57-74,TRUE,st. louis,mo,missouri
62,186,Huston Tillotson University,"$14,346 ",965,hbcu,"Austin, TX",57-74,FALSE,austin,tx,texas
63,189,Jarvis Christian College,"$11,720 ",900,hbcu,"Hawkins, TX",57-74,FALSE,hawkins,tx,texas
64,192,Lane College,"$10,280 ",,hbcu,"Jackson, TN",57-74,FALSE,jackson,tn,tennessee
65,195,Langston University,"$13,073 (out-of-state), $5,734 (in-state)","2,050",hbcu,"Langston, OK",57-74,TRUE,langston,ok,oklahoma
66,198,LeMoyne Owen College,"$10,900 ",959,hbcu,"Memphis, TN",57-74,FALSE,memphis,tn,tennessee
67,201,Livingstone College,"$17,763 ","1,204",hbcu,"Salisbury, NC",57-74,FALSE,salisbury,nc,north carolina
68,204,Paine College,"$14,224 ",,hbcu,"Augusta, GA",57-74,FALSE,augusta,ga,georgia
69,207,Rust College,"$9,500 ","1,004",hbcu,"Holly Springs, MS",57-74,FALSE,holly springs,ms,mississippi
70,210,Shaw University,"$16,480 ","1,713",hbcu,"Raleigh, NC",57-74,FALSE,raleigh,nc,north carolina
71,213,Stillman College,"$10,418 ",,hbcu,"Tuscaloosa, AL",57-74,FALSE,tuscaloosa,al,alabama
72,216,Voorhees College,"$12,630 ",,hbcu,"Denmark, SC",57-74,FALSE,denmark,sc,south carolina
73,219,Wiley College,"$12,064 ",,hbcu,"Marshall, TX",57-74,FALSE,marshall,tx,texas
74,222,Concordia College,"$10,320 ",,hbcu,"Selma, AL",Unranked,FALSE,selma,al,alabama
75,225,Miles College,"$11,604 ",,hbcu,"Birmingham, AL",Unranked,FALSE,birmingham,al,alabama
76,228,Morris College,"$13,045 ",,hbcu,"Sumter, SC",Unranked,FALSE,sumter,sc,south carolina
77,231,Southwestern Christian College,"$8,074 ",,hbcu,"Terrell, TX",Unranked,FALSE,terrell,tx,texas
78,234,Talladega College,"$12,340 ",,hbcu,"Talladega, AL",Unranked,FALSE,talladega,al,alabama
79,237,Texas College,"$17,208 ",,hbcu,"Tyler, TX",Unranked,FALSE,tyler,tx,texas
