 #46 in National Universities (tie),,,,
,,,,
Villanova University,"$51,434 ","6,999",,
"Villanova, PA",,,,
 #46 in National Universities (tie),,,,
Pennsylvania State University--University Park,"$33,664 (out-of-state), $18,436 (in-state)","41,359",,
"University Park, PA",,,,
 #52 in National Universities (tie),,,,
University of Illinois--Urbana-Champaign,"$31,988 (out-of-state), $15,868 (in-state)","33,932",,
"Champaign, IL",,,,
 #52 in National Universities (tie),,,,
Ohio State University--Columbus,"$29,659 (out-of-state), $10,591 (in-state)","45,831",,
"Columbus, OH",,,,
 #54 in National Universities (tie),,,,
University of Georgia,"$30,392 (out-of-state), $11,818 (in-state)","27,951",,
"Athens, GA",,,,
 #54 in National Universities (tie),,,,
,,,,
George Washington University,"$53,518 ","11,504",,
"Washington, DC",,,,
 #56 in National Universities (tie),,,,
Purdue University--West Lafayette,"$28,804 (out-of-state), $10,002 (in-state)","30,043",,
"West Lafayette, IN",,,,
 #56 in National Universities (tie),,,,
University of Connecticut,"$36,948 (out-of-state), $14,880 (in-state)","19,324",,
"Storrs, CT",,,,
 #56 in National Universities (tie),,,,
University of Texas--Austin,"$35,766 (out-of-state), $10,136 (in-state)","40,168",,
"Austin, TX",,,,
 #56 in National Universities (tie),,,,
University of Washington,"$35,538 (out-of-state), $10,974 (in-state)","30,933",,
"Seattle, WA",,,,
 #56 in National Universities (tie),,,,
,,,,
Brigham Young University--Provo,"$5,460 ","30,979",,
"Provo, UT",,,,
 #61 in National Universities (tie),,,,
Fordham University,"$50,601 ","9,258",,
"New York, NY",,,,
 #61 in National Universities (tie),,,,
Southern Methodist University,"$52,498 ","6,521",,
"Dallas, TX",,,,
 #61 in National Universities (tie),,,,
Syracuse University,"$46,755 ","15,218",,
"Syracuse, NY",,,,
 #61 in National Universities (tie),,,,
University of Maryland--College Park,"$33,606 (out-of-state), $10,399 (in-state)","28,472",,
"College Park, MD",,,,
 #61 in National Universities (tie),,,,
,,,,
Worcester Polytechnic Institute,"$48,628 ","4,432",,
"Worcester, MA",,,,
 #61 in National Universities (tie),,,,
Clemson University,"$35,654 (out-of-state), $14,712 (in-state)","18,599",,
"Clemson, SC",,,,
 #67 in National Universities,,,,
University of Pittsburgh,"$30,642 (out-of-state), $19,080 (in-state)","19,123",,
"Pittsburgh, PA",,,,
 #68 in National Universities,,,,
American University,"$46,615 ","7,901",,
"Washington, DC",,,,
 #69 in National Universities (tie),,,,
Rutgers University--New Brunswick,"$30,023 (out-of-state), $14,372 (in-state)","36,168",,
"Piscataway, NJ",,,,
 #69 in National Universities (tie),,,,
,,,,
Stevens Institute of Technology,"$50,554 ","3,021",,
"Hoboken, NJ",,,,
 #69 in National Universities (tie),,,,
Texas A&M University--College Station,"$30,208 (out-of-state), $10,030 (in-state)","50,735",,
"College Station, TX",,,,
 #69 in National Universities (tie),,,,
University of Minnesota--Twin Cities,"$26,603 (out-of-state), $14,417 (in-state)","34,871",,
"Minneapolis, MN",,,,
 #69 in National Universities (tie),,,,
Virginia Tech,"$29,371 (out-of-state), $12,852 (in-state)","25,791",,
"Blacksburg, VA",,,,
 #69 in National Universities (tie),,,,
Baylor University,"$43,790 ","14,348",,
"Waco, TX",,,,
 #75 in National Universities (tie),,,,
,,,,
Colorado School of Mines,"$37,436 (out-of-state), $18,386 (in-state)","4,612",,
"Golden, CO",,,,
 #75 in National Universities (tie),,,,
University of Massachusetts--Amherst,"$33,662 (out-of-state), $15,596 (in-state)","23,373",,
"Amherst, MA",,,,
 #75 in National Universities (tie),,,,
Miami University--Oxford,"$32,768 (out-of-state), $14,578 (in-state)","16,981",,
"Oxford, OH",,,,
 #78 in National Universities (tie),,,,
Texas Christian University,"$44,760 ","8,891",,
"Fort Worth, TX",,,,
 #78 in National Universities (tie),,,,
University of Iowa,"$28,813 (out-of-state), $8,575 (in-state)","24,476",,
"Iowa City, IA",,,,
 #78 in National Universities (tie),,,,
,,,,
Clark University,"$44,400 ","2,289",,
"Worcester, MA",,,,
 #81 in National Universities (tie),,,,
Florida State University,"$21,673 (out-of-state), $6,507 (in-state)","32,929",,
"Tallahassee, FL",,,,
 #81 in National Universities (tie),,,,
Michigan State University,"$39,405 (out-of-state), $14,460 (in-state)","39,090",,
"East Lansing, MI",,,,
 #81 in National Universities (tie),,,,
North Carolina State University--Raleigh,"$27,406 (out-of-state), $9,058 (in-state)","23,847",,
"Raleigh, NC",,,,
 #81 in National Universities (tie),,,,
University of California--Santa Cruz,"$42,042 (out-of-state), $14,028 (in-state)","16,962",,
"Santa Cruz, CA",,,,
 #81 in National Universities (tie),,,,
,,,,
University of Delaware,"$32,250 (out-of-state), $12,830 (in-state)","18,374",,
"Newark, DE",,,,
 #81 in National Universities (tie),,,,
Binghamton University--SUNY,"$24,403 (out-of-state), $9,523 (in-state)","13,632",,
"Binghamton, NY",,,,
 #87 in National Universities (tie),,,,
University of Denver,"$48,669 ","5,754",,
"Denver, CO",,,,
 #87 in National Universities (tie),,,,
University of Tulsa,"$39,502 ","3,406",,
"Tulsa, OK",,,,
 #87 in National Universities (tie),,,,
Indiana University--Bloomington,"$34,845 (out-of-state), $10,533 (in-state)","39,184",,
"Bloomington, IN",,,,
 #90 in National Universities (tie),,,,
,,,,
Marquette University,"$39,900 ","8,238",,
"Milwaukee, WI",,,,
 #90 in National Universities (tie),,,,
University of Colorado--Boulder,"$35,079 (out-of-state), $11,531 (in-state)","27,846",,
"Boulder, CO",,,,
 #90 in National Universities (tie),,,,
University of San Diego,"$47,708 ","5,711",,
"San Diego, CA",,,,
 #90 in National Universities (tie),,,,
Drexel University,"$52,002 ","13,251",,
"Philadelphia, PA",,,,
 #94 in National Universities (tie),,,,
Saint Louis University,"$42,166 ","7,454",,
"St. Louis, MO",,,,
 #94 in National Universities (tie),,,,
,,,,
Yeshiva University,"$42,000 ","2,714",,
"New York, NY",,,,
 #94 in National Universities (tie),,,,
Rochester Institute of Technology,"$40,068 ","12,410",,
"Rochester, NY",,,,
 #97 in National Universities (tie),,,,
Stony Brook University--SUNY,"$26,297 (out-of-state), $9,257 (in-state)","17,026",,
"Stony Brook, NY",,,,
 #97 in National Universities (tie),,,,
SUNY College of Environmental Science and Forestry,"$18,090 (out-of-state), $8,240 (in-state)","1,755",,
"Syracuse, NY",,,,
 #97 in National Universities (tie),,,,
University at Buffalo--SUNY,"$26,270 (out-of-state), $9,770 (in-state)","20,411",,
"Buffalo, NY",,,,
 #97 in National Universities (tie),,,,
,,,,
University of Oklahoma,"$24,443 (out-of-state), $9,062 (in-state)","22,436",,
"Norman, OK",,,,
 #97 in National Universities (tie),,,,
University of Vermont,"$41,356 (out-of-state), $17,740 (in-state)","11,159",,
"Burlington, VT",,,,
 #97 in National Universities (tie),,,,
Auburn University,"$29,640 (out-of-state), $10,968 (in-state)","22,658",,
"Auburn, AL",,,,
 #103 in National Universities (tie),,,,
Illinois Institute of Technology,"$45,864 ","2,944",,
"Chicago, IL",,,,
 #103 in National Universities (tie),,,,
Loyola University Chicago,"$42,828 ","11,129",,
"Chicago, IL",,,,
 #103 in National Universities (tie),,,,
,,,,
University of New Hampshire,"$32,637 (out-of-state), $18,067 (in-state)","12,871",,
"Durham, NH",,,,
 #103 in National Universities (tie),,,,
University of Oregon,"$34,611 (out-of-state), $11,571 (in-state)","20,049",,
"Eugene, OR",,,,
 #103 in National Universities (tie),,,,
University of South Carolina,"$32,362 (out-of-state), $12,262 (in-state)","25,556",,
"Columbia, SC",,,,
 #103 in National Universities (tie),,,,
University of Tennessee,"$31,160 (out-of-state), $12,970 (in-state)","22,139",,
"Knoxville, TN",,,,
 #103 in National Universities (tie),,,,
Howard University,"$25,697 ","5,899",,
"Washington, DC",,,,
 #110 in National Universities (tie),,,,
,,,,
University of Alabama,"$28,100 (out-of-state), $10,780 (in-state)","32,563",,
"Tuscaloosa, AL",,,,
 #110 in National Universities (tie),,,,
University of San Francisco,"$46,250 ","6,745",,
"San Francisco, CA",,,,
 #110 in National Universities (tie),,,,
University of the Pacific,"$46,346 ","3,483",,
"Stockton, CA",,,,
 #110 in National Universities (tie),,,,
University of Utah,"$26,408 (out-of-state), $9,166 (in-state)","23,789",,
"Salt Lake City, UT",,,,
 #110 in National Universities (tie),,,,
Arizona State University--Tempe,"$27,372 (out-of-state), $10,792 (in-state)","42,477",,
"Tempe, AZ",,,,
 #115 in National Universities (tie),,,,
,,,,
Iowa State University,"$22,256 (out-of-state), $8,420 (in-state)","30,671",,
"Ames, IA",,,,
 #115 in National Universities (tie),,,,
Temple University,"$27,266 (out-of-state), $16,274 (in-state)","29,275",,
"Philadelphia, PA",,,,
 #115 in National Universities (tie),,,,
University of Kansas,"$26,592 (out-of-state), $10,824 (in-state)","19,262",,
"Lawrence, KS",,,,
 #115 in National Universities (tie),,,,
University of St. Thomas,"$41,133 ","6,111",,
"St. Paul, MN",,,,
 #115 in National Universities (tie),,,,
The Catholic University of America,"$44,060 ","3,241",,
"Washington, DC",,,,
 #120 in National Universities (tie),,,,
,,,,
DePaul University,"$39,010 ","15,407",,
"Chicago, IL",,,,
 #120 in National Universities (tie),,,,
Duquesne University,"$36,394 ","6,039",,
"Pittsburgh, PA",,,,
 #120 in National Universities (tie),,,,
University of Missouri,"$26,506 (out-of-state), $9,817 (in-state)","25,898",,
"Columbia, MO",,,,
 #120 in National Universities (tie),,,,
Clarkson University,"$47,950 ","3,268",,
"Potsdam, NY",,,,
 #124 in National Universities (tie),,,,
Colorado State University,"$29,140 (out-of-state), $11,632 (in-state)","25,177",,
"Fort Collins, CO",,,,
 #124 in National Universities (tie),,,,
,,,,
Michigan Technological University,"$32,318 (out-of-state), $15,074 (in-state)","5,829",,
"Houghton, MI",,,,
 #124 in National Universities (tie),,,,
Seton Hall University,"$40,588 ","5,956",,
"South Orange, NJ",,,,
 #124 in National Universities (tie),,,,
University of Arizona,"$32,449 (out-of-state), $11,644 (in-state)","34,072",,
"Tucson, AZ",,,,
 #124 in National Universities (tie),,,,
University of California--Riverside,"$41,931 (out-of-state), $13,917 (in-state)","19,799",,
"Riverside, CA",,,,
 #124 in National Universities (tie),,,,
University of Dayton,"$41,750 ","8,330",,
"Dayton, OH",,,,
 #124 in National Universities (tie),,,,
,,,,
University of Nebraska--Lincoln,"$23,256 (out-of-state), $8,690 (in-state)","20,833",,
"Lincoln, NE",,,,
 #124 in National Universities (tie),,,,
Hofstra University,"$43,960 ","6,899",,
"Hempstead, NY",,,,
 #132 in National Universities,,,,
Louisiana State University--Baton Rouge,"$28,051 (out-of-state), $11,374 (in-state)","26,118",,
"Baton Rouge, LA",,,,
 #133 in National Universities (tie),,,,
Mercer University,"$36,000 ","4,706",,
"Macon, GA",,,,
 #133 in National Universities (tie),,,,
The New School,"$47,330 ","7,014",,
"New York, NY",,,,
 #133 in National Universities (tie),,,,
,,,,
Rutgers University--Newark,"$29,480 (out-of-state), $13,829 (in-state)","8,170",,
"Newark, NJ",,,,
 #133 in National Universities (tie),,,,
University of Arkansas,"$24,308 (out-of-state), $9,062 (in-state)","22,548",,
"Fayetteville, AR",,,,
 #133 in National Universities (tie),,,,
University of Cincinnati,"$26,334 (out-of-state), $11,000 (in-state)","25,860",,
"Cincinnati, OH",,,,
 #133 in National Universities (tie),,,,
University of Kentucky,"$28,046 (out-of-state), $11,922 (in-state)","22,621",,
"Lexington, KY",,,,
 #133 in National Universities (tie),,,,
George Mason University,"$34,370 (out-of-state), $11,924 (in-state)","23,812",,
"Fairfax, VA",,,,
 #140 in National Universities (tie),,,,
,,,,
New Jersey Institute of Technology,"$31,034 (out-of-state), $16,430 (in-state)","8,211",,
"Newark, NJ",,,,
 #140 in National Universities (tie),,,,
San Diego State University,"$19,340 (out-of-state), $7,460 (in-state)","29,853",,
"San Diego, CA",,,,
 #140 in National Universities (tie),,,,
University of South Florida,"$17,324 (out-of-state), $6,410 (in-state)","31,461",,
"Tampa, FL",,,,
 #140 in National Universities (tie),,,,
Washington State University,"$25,817 (out-of-state), $11,391 (in-state)","24,904",,
"Pullman, WA",,,,
 #140 in National Universities (tie),,,,
Kansas State University,"$24,775 (out-of-state), $9,874 (in-state)","19,472",,
"Manhattan, KS",,,,
 #145 in National Universities (tie),,,,
,,,,
Oregon State University,"$29,457 (out-of-state), $10,797 (in-state)","25,327",,
"Corvallis, OR",,,,
 #145 in National Universities (tie),,,,
St. John Fisher College,"$33,120 ","2,786",,
"Rochester, NY",,,,
 #145 in National Universities (tie),,,,
University of Illinois--Chicago,"$27,672 (out-of-state), $14,816 (in-state)","17,959",,
"Chicago, IL",,,,
 #145 in National Universities (tie),,,,
University of Mississippi,"$23,554 (out-of-state), $8,290 (in-state)","19,213",,
"University, MS",,,,
 #145 in National Universities (tie),,,,
University of Texas--Dallas,"$33,654 (out-of-state), $12,162 (in-state)","17,350",,
"Richardson, TX",,,,
 #145 in National Universities (tie),,,,
,,,,
Adelphi University,"$37,170 ","5,205",,
"Garden City, NY",,,,
 #151 in National Universities (tie),,,,
Florida Institute of Technology,"$41,240 ","3,629",,
"Melbourne, FL",,,,
 #151 in National Universities (tie),,,,
Ohio University,"$21,360 (out-of-state), $11,896 (in-state)","23,788",,
"Athens, OH",,,,
 #151 in National Universities (tie),,,,
Seattle Pacific University,"$40,893 ","3,095",,
"Seattle, WA",,,,
 #151 in National Universities (tie),,,,
University at Albany--SUNY,"$24,358 (out-of-state), $9,278 (in-state)","13,139",,
"Albany, NY",,,,
 #151 in National Universities (tie),,,,
,,,,
Oklahoma State University,"$23,776 (out-of-state), $8,738 (in-state)","21,093",,
"Stillwater, OK",,,,
 #156 in National Universities (tie),,,,
University of Massachusetts--Lowell,"$31,865 (out-of-state), $14,800 (in-state)","13,639",,
"Lowell, MA",,,,
 #156 in National Universities (tie),,,,
University of Rhode Island,"$28,874 (out-of-state), $12,884 (in-state)","14,801",,
"Kingston, RI",,,,
 #156 in National Universities (tie),,,,
Biola University,"$38,448 ","4,091",,
"La Mirada, CA",,,,
 #159 in National Universities (tie),,,,
Illinois State University,"$25,168 (out-of-state), $14,061 (in-state)","18,643",,
"Normal, IL",,,,
 #159 in National Universities (tie),,,,
,,,,
University of Alabama--Birmingham,"$23,790 (out-of-state), $10,410 (in-state)","12,369",,
"Birmingham, AL",,,,
 #159 in National Universities (tie),,,,
University of Hawaii--Manoa,"$33,764 (out-of-state), $11,732 (in-state)","13,132",,
"Honolulu, HI",,,,
 #159 in National Universities (tie),,,,
University of La Verne,"$41,450 ","2,809",,
"La Verne, CA",,,,
 #159 in National Universities (tie),,,,
University of Maryland--Baltimore County,"$25,654 (out-of-state), $11,518 (in-state)","11,142",,
"Baltimore, MD",,,,
 #159 in National Universities (tie),,,,
Immaculata University,"$27,350 ","1,555",,
"Immaculata, PA",,,,
 #165 in National Universities (tie),,,,
,,,,
Maryville University of St. Louis,"$28,470 ","2,967",,
"St Louis, MO",,,,
 #165 in National Universities (tie),,,,
Missouri University of Science & Technology,"$27,701 (out-of-state), $9,628 (in-state)","6,909",,
"Rolla, MO",,,,
 #165 in National Universities (tie),,,,
St. John's University,"$40,790 ","16,440",,
"Queens, NY",,,,
 #165 in National Universities (tie),,,,
University of California--Merced,"$41,612 (out-of-state), $13,598 (in-state)","6,815",,
"Merced, CA",,,,
 #165 in National Universities (tie),,,,
University of Louisville,"$26,286 (out-of-state), $11,264 (in-state)","15,827",,
"Louisville, KY",,,,
 #165 in National Universities (tie),,,,
,,,,
Mississippi State University,"$22,358 (out-of-state), $8,138 (in-state)","18,090",,
"Mississippi State, MS",,,,
 #171 in National Universities (tie),,,,
Rowan University,"$21,378 (out-of-state), $13,108 (in-state)","14,344",,
"Glassboro, NJ",,,,
 #171 in National Universities (tie),,,,
University of Central Florida,"$22,467 (out-of-state), $6,368 (in-state)","55,776",,
"Orlando, FL",,,,
 #171 in National Universities (tie),,,,
University of Idaho,"$23,812 (out-of-state), $7,488 (in-state)","9,586",,
"Moscow, ID",,,,
 #171 in National Universities (tie),,,,
Virginia Commonwealth University,"$32,942 (out-of-state), $13,570 (in-state)","24,212",,
"Richmond, VA",,,,
 #171 in National Universities (tie),,,,
,,,,
Kent State University,"$18,376 (out-of-state), $10,012 (in-state)","23,684",,
"Kent, OH",,,,
 #176 in National Universities (tie),,,,
Robert Morris University,"$29,420 ","4,384",,
"Moon Township, PA",,,,
 #176 in National Universities (tie),,,,
Texas Tech University,"$23,011 (out-of-state), $10,771 (in-state)","29,963",,
"Lubbock, TX",,,,
 #176 in National Universities (tie),,,,
Union University,"$31,580 ","2,214",,
"Jackson, TN",,,,
 #176 in National Universities (tie),,,,
University of Hartford,"$38,910 ","5,150",,
"West Hartford, CT",,,,
 #176 in National Universities (tie),,,,
,,,,
Edgewood College,"$28,500 ","1,661",,
"Madison, WI",,,,
 #181 in National Universities (tie),,,,
Lesley University,"$26,550 ","1,929",,
"Cambridge, MA",,,,
 #181 in National Universities (tie),,,,
Lipscomb University,"$30,932 ","2,986",,
"Nashville, TN",,,,
 #181 in National Universities (tie),,,,
Suffolk University,"$37,270 ","5,290",,
"Boston, MA",,,,
 #181 in National Universities (tie),,,,
University of Maine,"$30,282 (out-of-state), $10,902 (in-state)","9,323",,
"Orono, ME",,,,
 #181 in National Universities (tie),,,,
,,,,
University of Wyoming,"$16,827 (out-of-state), $5,217 (in-state)","9,788",,
"Laramie, WY",,,,
 #181 in National Universities (tie),,,,
Azusa Pacific University,"$36,120 ","5,770",,
"Azusa, CA",,,,
 #187 in National Universities (tie),,,,
Ball State University,"$25,938 (out-of-state), $9,848 (in-state)","17,011",,
"Muncie, IN",,,,
 #187 in National Universities (tie),,,,
Montclair State University,"$20,566 (out-of-state), $12,454 (in-state)","16,810",,
"Montclair, NJ",,,,
 #187 in National Universities (tie),,,,
Pace University,"$44,036 ","8,914",,
"New York, NY",,,,
 #187 in National Universities (tie),,,,
,,,,
West Virginia University,"$23,616 (out-of-state), $8,376 (in-state)","22,350",,
"Morgantown, WV",,,,
 #187 in National Universities (tie),,,,
Andrews University,"$28,436 ","1,688",,
"Berrien Springs, MI",,,,
 #192 in National Universities (tie),,,,
Indiana University-Purdue University--Indianapolis,"$29,806 (out-of-state), $9,334 (in-state)","21,748",,
"Indianapolis, IN",,,,
 #192 in National Universities (tie),,,,
University of Houston,"$27,337 (out-of-state), $11,887 (in-state)","35,871",,
"Houston, TX",,,,
 #192 in National Universities (tie),,,,
University of New Mexico,"$22,412 (out-of-state), $7,150 (in-state)","20,215",,
"Albuquerque, NM",,,,
 #192 in National Universities (tie),,,,
,,,,
University of North Dakota,"$21,462 (out-of-state), $9,862 (in-state)","11,255",,
"Grand Forks, ND",,,,
 #192 in National Universities (tie),,,,
Widener University,"$44,166 ","3,591",,
"Chester, PA",,,,
 #192 in National Universities (tie),,,,
New Mexico State University,"$22,701 (out-of-state), $7,122 (in-state)","12,027",,
"Las Cruces, NM",,,,
 #198 in National Universities (tie),,,,
North Dakota State University,"$20,571 (out-of-state), $9,409 (in-state)","12,010",,
"Fargo, ND",,,,
 #198 in National Universities (tie),,,,
Nova Southeastern University,"$29,940 ","4,295",,
"Ft. Lauderdale, FL",,,,
 #198 in National Universities (tie),,,,
,,,,
University of North Carolina--Charlotte,"$20,268 (out-of-state), $6,834 (in-state)","23,404",,
"Charlotte, NC",,,,
 #198 in National Universities (tie),,,,
Bowling Green State University,"$18,593 (out-of-state), $11,057 (in-state)","14,852",,
"Bowling Green, OH",,,,
 #202 in National Universities (tie),,,,
California State University--Fullerton,"$17,460 (out-of-state), $6,850 (in-state)","34,576",,
"Fullerton, CA",,,,
 #202 in National Universities (tie),,,,
Dallas Baptist University,"$27,480 ","3,223",,
"Dallas, TX",,,,
 #202 in National Universities (tie),,,,
University of Massachusetts--Boston,"$32,985 (out-of-state), $13,828 (in-state)","12,847",,
"Boston, MA",,,,
 #202 in National Universities (tie),,,,
,,,,
University of Nevada--Reno,"$21,787 (out-of-state), $7,599 (in-state)","18,191",,
"Reno, NV",,,,
 #202 in National Universities (tie),,,,
Central Michigan University,"$23,670 (out-of-state), $12,510 (in-state)","19,923",,
"Mount Pleasant, MI",,,,
 #207 in National Universities (tie),,,,
East Carolina University,"$23,420 (out-of-state), $7,143 (in-state)","22,969",,
"Greenville, NC",,,,
 #207 in National Universities (tie),,,,
Florida A&M University,"$17,725 (out-of-state), $5,785 (in-state)","7,769",,
"Tallahassee, FL",,,,
 #207 in National Universities (tie),,,,
Montana State University,"$23,042 (out-of-state), $7,031 (in-state)","14,400",,
"Bozeman, MT",,,,
 #207 in National Universities (tie),,,,
,,,,
University of Alaska--Fairbanks,"$23,534 (out-of-state), $8,144 (in-state)","7,239",,
"Fairbanks, AK",,,,
 #207 in National Universities (tie),,,,
University of Colorado--Denver,"$31,209 (out-of-state), $11,019 (in-state)","14,622",,
"Denver, CO",,,,
 #207 in National Universities (tie),,,,
University of Massachusetts--Dartmouth,"$28,285 (out-of-state), $13,571 (in-state)","6,999",,
"North Dartmouth, MA",,,,
 #207 in National Universities (tie),,,,
University of Montana,"$24,943 (out-of-state), $7,063 (in-state)","10,077",,
"Missoula, MT",,,,
 #207 in National Universities (tie),,,,
Western Michigan University,"$14,699 (out-of-state), $11,943 (in-state)","18,313",,
"Kalamazoo, MI",,,,
 #207 in National Universities (tie),,,,
,,,,
Florida International University,"$18,956 (out-of-state), $6,558 (in-state)","45,813",,
"Miami, FL",,,,
 #216 in National Universities (tie),,,,
Louisiana Tech University,"$18,438 (out-of-state), $9,525 (in-state)","11,281",,
"Ruston, LA",,,,
 #216 in National Universities (tie),,,,
South Dakota State University,"$11,403 (out-of-state), $8,172 (in-state)","10,959",,
"Brookings, SD",,,,
 #216 in National Universities (tie),,,,
Southern Illinois University--Carbondale,"$13,936 (out-of-state), $13,936 (in-state)","12,182",,
"Carbondale, IL",,,,
 #216 in National Universities (tie),,,,
University of Alabama--Huntsville,"$21,480 (out-of-state), $10,280 (in-state)","6,507",,
"Huntsville, AL",,,,
 #216 in National Universities (tie),,,,
,,,,
University of Missouri--Kansas City,"$25,999 (out-of-state), $9,734 (in-state)","11,708",,
"Kansas City, MO",,,,
 #216 in National Universities (tie),,,,
