"Madison, WI",,,,,
 #14 in Engineering Programs (doctorate) (tie),,,,,
Virginia Tech,"$29,371 (out-of-state), $12,852 (in-state)","25,791",3.9,,
"Blacksburg, VA",,,,,
 #14 in Engineering Programs (doctorate) (tie),,,,,
Columbia University,"$57,208 ","6,113",3.8,,
"New York, NY",,,,,
 #18 in Engineering Programs (doctorate) (tie),,,,,
University of California--Los Angeles,"$41,270 (out-of-state), $13,256 (in-state)","30,873",3.8,,
"Los Angeles, CA",,,,,
 #18 in Engineering Programs (doctorate) (tie),,,,,
Duke University,"$53,744 ","6,609",3.7,,
"Durham, NC",,,,,
 #20 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
Pennsylvania State University--University Park,"$33,664 (out-of-state), $18,436 (in-state)","41,359",3.7,,
"University Park, PA",,,,,
 #20 in Engineering Programs (doctorate) (tie),,,,,
Rice University,"$45,608 ","3,893",3.7,,
"Houston, TX",,,,,
 #20 in Engineering Programs (doctorate) (tie),,,,,
University of California--San Diego,"$44,197 (out-of-state), $16,183 (in-state)","28,127",3.7,,
"La Jolla, CA",,,,,
 #20 in Engineering Programs (doctorate) (tie),,,,,
University of Washington,"$35,538 (out-of-state), $10,974 (in-state)","30,933",3.7,,
"Seattle, WA",,,,,
 #20 in Engineering Programs (doctorate) (tie),,,,,
Harvard University,"$48,949 ","6,710",3.6,,
"Cambridge, MA",,,,,
 #25 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
University of Maryland--College Park,"$33,606 (out-of-state), $10,399 (in-state)","28,472",3.6,,
"College Park, MD",,,,,
 #25 in Engineering Programs (doctorate) (tie),,,,,
University of Minnesota--Twin Cities,"$26,603 (out-of-state), $14,417 (in-state)","34,871",3.6,,
"Minneapolis, MN",,,,,
 #25 in Engineering Programs (doctorate) (tie),,,,,
University of Pennsylvania,"$53,534 ","10,019",3.6,,
"Philadelphia, PA",,,,,
 #25 in Engineering Programs (doctorate) (tie),,,,,
University of Southern California,"$54,259 ","18,794",3.6,,
"Los Angeles, CA",,,,,
 #25 in Engineering Programs (doctorate) (tie),,,,,
Ohio State University--Columbus,"$29,659 (out-of-state), $10,591 (in-state)","45,831",3.5,,
"Columbus, OH",,,,,
 #30 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
Rensselaer Polytechnic Institute,"$52,305 ","6,265",3.5,,
"Troy, NY",,,,,
 #30 in Engineering Programs (doctorate) (tie),,,,,
University of California--Davis,"$42,396 (out-of-state), $14,382 (in-state)","29,546",3.5,,
"Davis, CA",,,,,
 #30 in Engineering Programs (doctorate) (tie),,,,,
University of Colorado--Boulder,"$35,079 (out-of-state), $11,531 (in-state)","27,846",3.5,,
"Boulder, CO",,,,,
 #30 in Engineering Programs (doctorate) (tie),,,,,
North Carolina State University--Raleigh,"$27,406 (out-of-state), $9,058 (in-state)","23,847",3.4,,
"Raleigh, NC",,,,,
 #34 in Engineering Programs (doctorate) (tie),,,,,
University of California--Santa Barbara,"$42,423 (out-of-state), $14,409 (in-state)","21,574",3.4,,
"Santa Barbara, CA",,,,,
 #34 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
University of Florida,"$28,658 (out-of-state), $6,381 (in-state)","34,554",3.4,,
"Gainesville, FL",,,,,
 #34 in Engineering Programs (doctorate) (tie),,,,,
University of Virginia,"$46,975 (out-of-state), $16,146 (in-state)","16,331",3.4,,
"Charlottesville, VA",,,,,
 #34 in Engineering Programs (doctorate) (tie),,,,,
Vanderbilt University,"$47,664 ","6,871",3.4,,
"Nashville, TN",,,,,
 #34 in Engineering Programs (doctorate) (tie),,,,,
Yale University,"$51,400 ","5,472",3.4,,
"New Haven, CT",,,,,
 #34 in Engineering Programs (doctorate) (tie),,,,,
Arizona State University--Tempe,"$27,372 (out-of-state), $10,792 (in-state)","42,477",3.3,,
"Tempe, AZ",,,,,
 #40 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
Brown University,"$53,419 ","6,926",3.3,,
"Providence, RI",,,,,
 #40 in Engineering Programs (doctorate) (tie),,,,,
Case Western Reserve University,"$47,500 ","5,152",3.3,,
"Cleveland, OH",,,,,
 #40 in Engineering Programs (doctorate) (tie),,,,,
Iowa State University,"$22,256 (out-of-state), $8,420 (in-state)","30,671",3.3,,
"Ames, IA",,,,,
 #40 in Engineering Programs (doctorate) (tie),,,,,
University of California--Irvine,"$43,530 (out-of-state), $15,516 (in-state)","27,331",3.3,,
"Irvine, CA",,,,,
 #40 in Engineering Programs (doctorate) (tie),,,,,
University of Notre Dame,"$51,505 ","8,530",3.3,,
"Notre Dame, IN",,,,,
 #40 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
Washington University in St. Louis,"$51,533 ","7,540",3.3,,
"St. Louis, MO",,,,,
 #40 in Engineering Programs (doctorate) (tie),,,,,
Dartmouth College,"$52,950 ","4,310",3.2,,
"Hanover, NH",,,,,
 #47 in Engineering Programs (doctorate) (tie),,,,,
Lehigh University,"$50,740 ","5,080",3.2,,
"Bethlehem, PA",,,,,
 #47 in Engineering Programs (doctorate) (tie),,,,,
Boston University,"$52,082 ","17,944",3.1,,
"Boston, MA",,,,,
 #49 in Engineering Programs (doctorate) (tie),,,,,
Colorado School of Mines,"$37,436 (out-of-state), $18,386 (in-state)","4,612",3.1,,
"Golden, CO",,,,,
 #49 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
Michigan State University,"$39,405 (out-of-state), $14,460 (in-state)","39,090",3.1,,
"East Lansing, MI",,,,,
 #49 in Engineering Programs (doctorate) (tie),,,,,
Northeastern University,"$49,497 ","13,473",3.1,,
"Boston, MA",,,,,
 #49 in Engineering Programs (doctorate) (tie),,,,,
Rutgers University--New Brunswick,"$30,023 (out-of-state), $14,372 (in-state)","36,168",3.1,,
"Piscataway, NJ",,,,,
 #49 in Engineering Programs (doctorate) (tie),,,,,
University of Arizona,"$32,449 (out-of-state), $11,644 (in-state)","34,072",3.1,,
"Tucson, AZ",,,,,
 #49 in Engineering Programs (doctorate) (tie),,,,,
University of Pittsburgh,"$30,642 (out-of-state), $19,080 (in-state)","19,123",3.1,,
"Pittsburgh, PA",,,,,
 #49 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
Auburn University,"$29,640 (out-of-state), $10,968 (in-state)","22,658",3,,
"Auburn, AL",,,,,
 #56 in Engineering Programs (doctorate) (tie),,,,,
Clemson University,"$35,654 (out-of-state), $14,712 (in-state)","18,599",3,,
"Clemson, SC",,,,,
 #56 in Engineering Programs (doctorate) (tie),,,,,
Drexel University,"$52,002 ","13,251",3,,
"Philadelphia, PA",,,,,
 #56 in Engineering Programs (doctorate) (tie),,,,,
Tufts University,"$54,318 ","5,508",3,,
"Medford, MA",,,,,
 #56 in Engineering Programs (doctorate) (tie),,,,,
University of Delaware,"$32,250 (out-of-state), $12,830 (in-state)","18,374",3,,
"Newark, DE",,,,,
 #56 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
Missouri University of Science & Technology,"$27,701 (out-of-state), $9,628 (in-state)","6,909",2.9,,
"Rolla, MO",,,,,
 #61 in Engineering Programs (doctorate) (tie),,,,,
New York University,"$50,464 ","26,135",2.9,,
"New York, NY",,,,,
 #61 in Engineering Programs (doctorate) (tie),,,,,
Rochester Institute of Technology,"$40,068 ","12,410",2.9,,
"Rochester, NY",,,,,
 #61 in Engineering Programs (doctorate) (tie),,,,,
University of Connecticut,"$36,948 (out-of-state), $14,880 (in-state)","19,324",2.9,,
"Storrs, CT",,,,,
 #61 in Engineering Programs (doctorate) (tie),,,,,
University of Iowa,"$28,813 (out-of-state), $8,575 (in-state)","24,476",2.9,,
"Iowa City, IA",,,,,
 #61 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
University of Massachusetts--Amherst,"$33,662 (out-of-state), $15,596 (in-state)","23,373",2.9,,
"Amherst, MA",,,,,
 #61 in Engineering Programs (doctorate) (tie),,,,,
University of Tennessee,"$31,160 (out-of-state), $12,970 (in-state)","22,139",2.9,,
"Knoxville, TN",,,,,
 #61 in Engineering Programs (doctorate) (tie),,,,,
University of Utah,"$26,408 (out-of-state), $9,166 (in-state)","23,789",2.9,,
"Salt Lake City, UT",,,,,
 #61 in Engineering Programs (doctorate) (tie),,,,,
Worcester Polytechnic Institute,"$48,628 ","4,432",2.9,,
"Worcester, MA",,,,,
 #61 in Engineering Programs (doctorate) (tie),,,,,
Colorado State University,"$29,140 (out-of-state), $11,632 (in-state)","25,177",2.8,,
"Fort Collins, CO",,,,,
 #70 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
Illinois Institute of Technology,"$45,864 ","2,944",2.8,,
"Chicago, IL",,,,,
 #70 in Engineering Programs (doctorate) (tie),,,,,
Michigan Technological University,"$32,318 (out-of-state), $15,074 (in-state)","5,829",2.8,,
"Houghton, MI",,,,,
 #70 in Engineering Programs (doctorate) (tie),,,,,
Oregon State University,"$29,457 (out-of-state), $10,797 (in-state)","25,327",2.8,,
"Corvallis, OR",,,,,
 #70 in Engineering Programs (doctorate) (tie),,,,,
Stony Brook University--SUNY,"$26,297 (out-of-state), $9,257 (in-state)","17,026",2.8,,
"Stony Brook, NY",,,,,
 #70 in Engineering Programs (doctorate) (tie),,,,,
University at Buffalo--SUNY,"$26,270 (out-of-state), $9,770 (in-state)","20,411",2.8,,
"Buffalo, NY",,,,,
 #70 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
University of Illinois--Chicago,"$27,672 (out-of-state), $14,816 (in-state)","17,959",2.8,,
"Chicago, IL",,,,,
 #70 in Engineering Programs (doctorate) (tie),,,,,
Washington State University,"$25,817 (out-of-state), $11,391 (in-state)","24,904",2.8,,
"Pullman, WA",,,,,
 #70 in Engineering Programs (doctorate) (tie),,,,,
Kansas State University,"$24,775 (out-of-state), $9,874 (in-state)","19,472",2.7,,
"Manhattan, KS",,,,,
 #78 in Engineering Programs (doctorate) (tie),,,,,
Stevens Institute of Technology,"$50,554 ","3,021",2.7,,
"Hoboken, NJ",,,,,
 #78 in Engineering Programs (doctorate) (tie),,,,,
University of Kansas,"$26,592 (out-of-state), $10,824 (in-state)","19,262",2.7,,
"Lawrence, KS",,,,,
 #78 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
University of Rochester,"$52,020 ","6,386",2.7,,
"Rochester, NY",,,,,
 #78 in Engineering Programs (doctorate) (tie),,,,,
Brigham Young University--Provo,"$5,460 ","30,979",2.6,,
"Provo, UT",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
Clarkson University,"$47,950 ","3,268",2.6,,
"Potsdam, NY",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
Embry-Riddle Aeronautical University,"$34,822 ","5,447",2.6,,
"Daytona Beach, FL",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
George Washington University,"$53,518 ","11,504",2.6,,
"Washington, DC",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
New Jersey Institute of Technology,"$31,034 (out-of-state), $16,430 (in-state)","8,211",2.6,,
"Newark, NJ",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
Oklahoma State University,"$23,776 (out-of-state), $8,738 (in-state)","21,093",2.6,,
"Stillwater, OK",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
Syracuse University,"$46,755 ","15,218",2.6,,
"Syracuse, NY",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
Texas Tech University,"$23,011 (out-of-state), $10,771 (in-state)","29,963",2.6,,
"Lubbock, TX",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
University of California--Riverside,"$41,931 (out-of-state), $13,917 (in-state)","19,799",2.6,,
"Riverside, CA",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
University of Central Florida,"$22,467 (out-of-state), $6,368 (in-state)","55,776",2.6,,
"Orlando, FL",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
University of Cincinnati,"$26,334 (out-of-state), $11,000 (in-state)","25,860",2.6,,
"Cincinnati, OH",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
University of Houston,"$27,337 (out-of-state), $11,887 (in-state)","35,871",2.6,,
"Houston, TX",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
University of Nebraska--Lincoln,"$23,256 (out-of-state), $8,690 (in-state)","20,833",2.6,,
"Lincoln, NE",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
University of New Mexico,"$22,412 (out-of-state), $7,150 (in-state)","20,215",2.6,,
"Albuquerque, NM",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
University of North Carolina--Charlotte,"$20,268 (out-of-state), $6,834 (in-state)","23,404",2.6,,
"Charlotte, NC",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
University of Oklahoma,"$24,443 (out-of-state), $9,062 (in-state)","22,436",2.6,,
"Norman, OK",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
University of Texas--Dallas,"$33,654 (out-of-state), $12,162 (in-state)","17,350",2.6,,
"Richardson, TX",,,,,
 #82 in Engineering Programs (doctorate) (tie),,,,,
Indiana University-Purdue University--Indianapolis,"$29,806 (out-of-state), $9,334 (in-state)","21,748",2.5,,
"Indianapolis, IN",,,,,
 #99 in Engineering Programs (doctorate) (tie),,,,,
Louisiana State University--Baton Rouge,"$28,051 (out-of-state), $11,374 (in-state)","26,118",2.5,,
"Baton Rouge, LA",,,,,
 #99 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
San Diego State University,"$19,340 (out-of-state), $7,460 (in-state)","29,853",2.5,,
"San Diego, CA",,,,,
 #99 in Engineering Programs (doctorate) (tie),,,,,
Southern Methodist University,"$52,498 ","6,521",2.5,,
"Dallas, TX",,,,,
 #99 in Engineering Programs (doctorate) (tie),,,,,
University of Alabama,"$28,100 (out-of-state), $10,780 (in-state)","32,563",2.5,,
"Tuscaloosa, AL",,,,,
 #99 in Engineering Programs (doctorate) (tie),,,,,
University of Arkansas,"$24,308 (out-of-state), $9,062 (in-state)","22,548",2.5,,
"Fayetteville, AR",,,,,
 #99 in Engineering Programs (doctorate) (tie),,,,,
University of California--Santa Cruz,"$42,042 (out-of-state), $14,028 (in-state)","16,962",2.5,,
"Santa Cruz, CA",,,,,
 #99 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
University of Kentucky,"$28,046 (out-of-state), $11,922 (in-state)","22,621",2.5,,
"Lexington, KY",,,,,
 #99 in Engineering Programs (doctorate) (tie),,,,,
University of Miami,"$48,484 ","10,849",2.5,,
"Coral Gables, FL",,,,,
 #99 in Engineering Programs (doctorate) (tie),,,,,
University of Missouri,"$26,506 (out-of-state), $9,817 (in-state)","25,898",2.5,,
"Columbia, MO",,,,,
 #99 in Engineering Programs (doctorate) (tie),,,,,
Villanova University,"$51,434 ","6,999",2.5,,
"Villanova, PA",,,,,
 #99 in Engineering Programs (doctorate) (tie),,,,,
Baylor University,"$43,790 ","14,348",2.4,,
"Waco, TX",,,,,
 #110 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
CUNY--City College,"$13,799 (out-of-state), $6,689 (in-state)","13,511",2.4,,
"New York, NY",,,,,
 #110 in Engineering Programs (doctorate) (tie),,,,,
George Mason University,"$34,370 (out-of-state), $11,924 (in-state)","23,812",2.4,,
"Fairfax, VA",,,,,
 #110 in Engineering Programs (doctorate) (tie),,,,,
Marquette University,"$39,900 ","8,238",2.4,,
"Milwaukee, WI",,,,,
 #110 in Engineering Programs (doctorate) (tie),,,,,
Mississippi State University,"$22,358 (out-of-state), $8,138 (in-state)","18,090",2.4,,
"Mississippi State, MS",,,,,
 #110 in Engineering Programs (doctorate) (tie),,,,,
Tulane University,"$52,960 ","6,377",2.4,,
"New Orleans, LA",,,,,
 #110 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
University of Alabama--Huntsville,"$21,480 (out-of-state), $10,280 (in-state)","6,507",2.4,,
"Huntsville, AL",,,,,
 #110 in Engineering Programs (doctorate) (tie),,,,,
University of Maryland--Baltimore County,"$25,654 (out-of-state), $11,518 (in-state)","11,142",2.4,,
"Baltimore, MD",,,,,
 #110 in Engineering Programs (doctorate) (tie),,,,,
University of Rhode Island,"$28,874 (out-of-state), $12,884 (in-state)","14,801",2.4,,
"Kingston, RI",,,,,
 #110 in Engineering Programs (doctorate) (tie),,,,,
University of South Carolina,"$32,362 (out-of-state), $12,262 (in-state)","25,556",2.4,,
"Columbia, SC",,,,,
 #110 in Engineering Programs (doctorate) (tie),,,,,
University of South Florida,"$17,324 (out-of-state), $6,410 (in-state)","31,461",2.4,,
"Tampa, FL",,,,,
 #110 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
University of Texas--Arlington,"$25,152 (out-of-state), $9,952 (in-state)","32,775",2.4,,
"Arlington, TX",,,,,
 #110 in Engineering Programs (doctorate) (tie),,,,,
University of Wisconsin--Milwaukee,"$19,851 (out-of-state), $9,493 (in-state)","21,375",2.4,,
"Milwaukee, WI",,,,,
 #110 in Engineering Programs (doctorate) (tie),,,,,
Utah State University,"$20,726 (out-of-state), $7,174 (in-state)","24,838",2.4,,
"Logan, UT",,,,,
 #110 in Engineering Programs (doctorate) (tie),,,,,
West Virginia University,"$23,616 (out-of-state), $8,376 (in-state)","22,350",2.4,,
"Morgantown, WV",,,,,
 #110 in Engineering Programs (doctorate) (tie),,,,,
Binghamton University--SUNY,"$24,403 (out-of-state), $9,523 (in-state)","13,632",2.3,,
"Binghamton, NY",,,,,
 #125 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
Florida A&M University,"$17,725 (out-of-state), $5,785 (in-state)","7,769",2.3,,
"Tallahassee, FL",,,,,
 #125 in Engineering Programs (doctorate) (tie),,,,,
New Mexico State University,"$22,701 (out-of-state), $7,122 (in-state)","12,027",2.3,,
"Las Cruces, NM",,,,,
 #125 in Engineering Programs (doctorate) (tie),,,,,
Ohio University,"$21,360 (out-of-state), $11,896 (in-state)","23,788",2.3,,
"Athens, OH",,,,,
 #125 in Engineering Programs (doctorate) (tie),,,,,
Santa Clara University,"$49,858 ","5,438",2.3,,
"Santa Clara, CA",,,,,
 #125 in Engineering Programs (doctorate) (tie),,,,,
South Dakota School of Mines and Technology,"$14,580 (out-of-state), $10,400 (in-state)","2,485",2.3,,
"Rapid City, SD",,,,,
 #125 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
University of Georgia,"$30,392 (out-of-state), $11,818 (in-state)","27,951",2.3,,
"Athens, GA",,,,,
 #125 in Engineering Programs (doctorate) (tie),,,,,
University of Louisville,"$26,286 (out-of-state), $11,264 (in-state)","15,827",2.3,,
"Louisville, KY",,,,,
 #125 in Engineering Programs (doctorate) (tie),,,,,
University of Massachusetts--Lowell,"$31,865 (out-of-state), $14,800 (in-state)","13,639",2.3,,
"Lowell, MA",,,,,
 #125 in Engineering Programs (doctorate) (tie),,,,,
University of New Hampshire,"$32,637 (out-of-state), $18,067 (in-state)","12,871",2.3,,
"Durham, NH",,,,,
 #125 in Engineering Programs (doctorate) (tie),,,,,
University of Vermont,"$41,356 (out-of-state), $17,740 (in-state)","11,159",2.3,,
"Burlington, VT",,,,,
 #125 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
Virginia Commonwealth University,"$32,942 (out-of-state), $13,570 (in-state)","24,212",2.3,,
"Richmond, VA",,,,,
 #125 in Engineering Programs (doctorate) (tie),,,,,
Boise State University,"$22,642 (out-of-state), $7,326 (in-state)","20,209",2.2,,
"Boise, ID",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
California State University--Long Beach,"$16,196 (out-of-state), $6,524 (in-state)","32,246",2.2,,
"Long Beach, CA",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
Howard University,"$25,697 ","5,899",2.2,,
"Washington, DC",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
Louisiana Tech University,"$18,438 (out-of-state), $9,525 (in-state)","11,281",2.2,,
"Ruston, LA",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
Montana State University,"$23,042 (out-of-state), $7,031 (in-state)","14,400",2.2,,
"Bozeman, MT",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
North Carolina A&T State University,"$19,416 (out-of-state), $6,526 (in-state)","9,668",2.2,,
"Greensboro, NC",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
Old Dominion University,"$28,200 (out-of-state), $10,350 (in-state)","19,793",2.2,,
"Norfolk, VA",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
Portland State University,"$21,180 (out-of-state), $7,302 (in-state)","21,633",2.2,,
"Portland, OR",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
Saint Louis University,"$42,166 ","7,454",2.2,,
"St. Louis, MO",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
Temple University,"$27,266 (out-of-state), $16,274 (in-state)","29,275",2.2,,
"Philadelphia, PA",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
University of Alabama--Birmingham,"$23,790 (out-of-state), $10,410 (in-state)","12,369",2.2,,
"Birmingham, AL",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
University of Colorado--Colorado Springs,"$24,181 (out-of-state), $10,201 (in-state)","10,414",2.2,,
"Colorado Springs, CO",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
University of Colorado--Denver,"$31,209 (out-of-state), $11,019 (in-state)","14,622",2.2,,
"Denver, CO",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
University of Dayton,"$41,750 ","8,330",2.2,,
"Dayton, OH",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
University of Hawaii--Manoa,"$33,764 (out-of-state), $11,732 (in-state)","13,132",2.2,,
"Honolulu, HI",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
University of Idaho,"$23,812 (out-of-state), $7,488 (in-state)","9,586",2.2,,
"Moscow, ID",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
University of Maine,"$30,282 (out-of-state), $10,902 (in-state)","9,323",2.2,,
"Orono, ME",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
University of Massachusetts--Dartmouth,"$28,285 (out-of-state), $13,571 (in-state)","6,999",2.2,,
"North Dartmouth, MA",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
University of Nevada--Las Vegas,"$21,498 (out-of-state), $7,310 (in-state)","24,714",2.2,,
"Las Vegas, NV",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
University of Nevada--Reno,"$21,787 (out-of-state), $7,599 (in-state)","18,191",2.2,,
"Reno, NV",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
University of Tulsa,"$39,502 ","3,406",2.2,,
"Tulsa, OK",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
University of Wyoming,"$16,827 (out-of-state), $5,217 (in-state)","9,788",2.2,,
"Laramie, WY",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
Wayne State University,"$28,590 (out-of-state), $13,278 (in-state)","17,280",2.2,,
"Detroit, MI",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
Wichita State University,"$17,270 (out-of-state), $8,312 (in-state)","11,823",2.2,,
"Wichita, KS",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
Wright State University,"$17,350 (out-of-state), $8,730 (in-state)","12,504",2.2,,
"Dayton, OH",,,,,
 #137 in Engineering Programs (doctorate) (tie),,,,,
Cleveland State University,"$13,848 (out-of-state), $9,796 (in-state)","12,433",2.1,,
"Cleveland, OH",,,,,
 #162 in Engineering Programs (doctorate) (tie),,,,,
Florida Institute of Technology,"$41,240 ","3,629",2.1,,
"Melbourne, FL",,,,,
 #162 in Engineering Programs (doctorate) (tie),,,,,
Florida International University,"$18,956 (out-of-state), $6,558 (in-state)","45,813",2.1,,
"Miami, FL",,,,,
 #162 in Engineering Programs (doctorate) (tie),,,,,
Idaho State University 1,"$21,023 (out-of-state), $6,956 (in-state)",N/A,2.1,,
"Pocatello, ID",,,,,
 #162 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
New Mexico Institute of Mining and Technology,"$20,991 (out-of-state), $7,183 (in-state)","1,569",2.1,,
"Socorro, NM",,,,,
 #162 in Engineering Programs (doctorate) (tie),,,,,
Tennessee Technological University,"$26,190 (out-of-state), N/A (in-state)","9,437",2.1,,
"Cookeville, TN",,,,,
 #162 in Engineering Programs (doctorate) (tie),,,,,
University of Akron,"$21,863 (out-of-state), $13,332 (in-state)","17,416",2.1,,
"Akron, OH",,,,,
 #162 in Engineering Programs (doctorate) (tie),,,,,
University of Alaska--Fairbanks,"$23,534 (out-of-state), $8,144 (in-state)","7,239",2.1,,
"Fairbanks, AK",,,,,
 #162 in Engineering Programs (doctorate) (tie),,,,,
University of California--Merced,"$41,612 (out-of-state), $13,598 (in-state)","6,815",2.1,,
"Merced, CA",,,,,
 #162 in Engineering Programs (doctorate) (tie),,,,,
,,,,,
University of Memphis,"$21,413 (out-of-state), $9,701 (in-state)","17,176",2.1,,
"Memphis, TN",,,,,
 #162 in Engineering Programs (doctorate) (tie),,,,,
University of Michigan--Dearborn,"$24,706 (out-of-state), $12,472 (in-state)","7,141",2.1,,
"Dearborn, MI",,,,,
 #162 in Engineering Programs (doctorate) (tie),,,,,
